Title,Date,Month,Fiscal Year,Library,Primary Event Type,Event Type Option 1,Event Type Option 2,Primary Age Group,Age Group Option 1,Age Group Option 2,Description,Internal Notes,Published Status,Attendance
Baby Storytime,07/19/2016,Jul,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"This is a storytime geared toward babies. Recommended ages are newborn to 18 months. Join us as we sing songs,read books and enjoy fingerplays. Storytime is limited to 15 parent/baby pairs. Due to the popularity of storytime we are now requiring registration. Please register for the adult caregiver attending.",,Yes,28
Baby Storytime,07/19/2016,Jul,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Babies and Toddlers,,,"This is a storytime geared toward babies. Recommended ages are newborn to 18 months. Join us as we sing songs,read books and enjoy fingerplays. Storytime is limited to 15 parent/baby pairs. Due to the popularity of storytime we are now requiring registration. Please register for the adult caregiver attending.",,No,
Rhyme Time Storytime,07/27/2016,Jul,FY 17,Long Branch,Science & Math (STEM),Storytime,,Babies and Toddlers,Preschool and Kindergarten,,"A storytime for ages 5 and under, with a caregiver, that will include stories, fingerplays, songs and other early literacy activities. No registration required.",,Yes,45
Mommy & Me (& Daddy Too!),07/19/2016,Jul,FY 17,Rockville Memorial,Storytime,ACE - All Children Excel,,Preschool and Kindergarten,Babies and Toddlers,,"Family Storytime for young children and a parent or caregiver. Choose between two storytimes at 10:30 am or 11:30 am. In addition, Federal Realty will provide activities outside in Rockville Town Square from May to October, from 10 am to noon. Free! No registration necessary. A summertime program for children and families. An ACE (All Children Excel) Program; a specialized program developed by MCPL with content for Early Literacy and to help children learn. Library customers can get 2 hours of FREE PARKING when they park in one of the Rockville Town Square garages: A, B or C. For more parking info. CLICK HERE.",,Yes,100
Mommy & Me (& Daddy Too!),07/19/2016,Jul,FY 17,Rockville Memorial,Storytime,ACE - All Children Excel,,Preschool and Kindergarten,Babies and Toddlers,,"Family Storytime for young children and a parent or caregiver. Choose between two storytimes at 10:30 am or 11:30 am. In addition, Federal Realty will provide activities outside in Rockville Town Square from May to October, from 10 am to noon. Free! No registration necessary. A summertime program for children and families. An ACE (All Children Excel) Program; a specialized program developed by MCPL with content for Early Literacy and to help children learn. Library customers can get 2 hours of FREE PARKING when they park in one of the Rockville Town Square garages: A, B or C. For more parking info. CLICK HERE.",,Yes,70
Tutoring and Homework Help,07/19/2016,Jul,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,No,
Tutoring and Homework Help,07/19/2016,Jul,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor of the library. To register or for more information, please call Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,No,
Family Storytime,07/20/2016,Jul,FY 17,Silver Spring,ACE - All Children Excel,Storytime,,Babies and Toddlers,Preschool and Kindergarten,,"**NOTE** Starting July 20th we will be handing out tickets half an hour before storytime- starting at 10 o'clock, first come first served. Ages 0-5. 5th Floor. Come join the children's staff for a fun, relaxed summer storytime. Please choose one time- we expect large crowds.",,Yes,80
Summer Family Storytime,07/20/2016,Jul,FY 17,Silver Spring,ACE - All Children Excel,Storytime,,Babies and Toddlers,Preschool and Kindergarten,,5th floor. Come join our children's staff for songs and stories. Ages 0-5. Please choose one time- we expect large crowds.,,No,
Rhyme Time Storytime,07/20/2016,Jul,FY 17,Long Branch,Science & Math (STEM),Storytime,,Babies and Toddlers,Preschool and Kindergarten,,"A storytime for ages 5 and under, with a caregiver, that will include stories, fingerplays, songs and other early literacy activities. No registration required.",,Yes,17
Toddler & Preschool Storytime,07/21/2016,Jul,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Preschool and Kindergarten,,,"This storytime is geared towards toddlers and preschoolers. We will enjoy fingerplays,songs and books. Due to space limitations we are requiring registration. Please register for the adult caregiver attending. Space is limited.Space is limited.",,Yes,54
Toddler & Preschool Storytime,07/21/2016,Jul,FY 17,Noyes Library for Young Children,Storytime,ACE - All Children Excel,,Preschool and Kindergarten,,,"This storytime is geared towards toddlers and preschoolers. We will enjoy fingerplays,songs and books. Due to space limitations we are requiring registration. Please register for the adult caregiver attending. Space is limited.",,Yes,64
Construction Crew: DUPLO,07/21/2016,Jul,FY 17,Damascus,Science & Math (STEM),ACE - All Children Excel,Makerspace,Preschool and Kindergarten,Babies and Toddlers,,"Drop in for a morning open session of imaginative construction with DUPLO (ages 2-5), and EDU-BLOCK (ages NB-2). We supply the blocks, so please leave yours at home-- just bring your ideas and start building! Your creations must be left at the library, but may be photographed before deconstruction. All children must be accompanied by an adult at all times. Sponsored by Friends of the Library, Damascus Chapter. Drop-in, no pre-registration. FREE. STEM.",,Yes,13
Tutoring and Homework Help,07/21/2016,Jul,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,No,
Tutoring and Homework Help,07/21/2016,Jul,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor of the library. To register or for more information, please call Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,No,
Sciencetellers present Race Against Time (Power and Energy),07/22/2016,Jul,FY 17,Twinbrook,Science & Math (STEM),ACE - All Children Excel,Special Event,Elementary School Age,Preschool and Kindergarten,,"Join us on a fast-paced summer adventure as we make things fly, bounce, transform and soar while telling a series of stories bound to energize and engage! Throw on your lab coat and buckle in -- you are about to experience the science of power and energy through several exciting, hands-on experiments that will have the audience laughing, learning and having fund! for children of all ages. Sponsored by the Friends of the Library Montgomery County, Inc. STEM program. A summertime program for children and families. Space is limited. Only the first 110 people will be admitted to the program.",,Yes,79
Sciencetellers: Power & Energy,07/22/2016,Jul,FY 17,Gaithersburg,Special Event,ACE - All Children Excel,,Elementary School Age,Preschool and Kindergarten,All Ages,"Join us on a fast-paced summer adventure as we make things fly, bounce, transform and soar while telling a series of stories bound to energize and engage! Throw on your labcoat and buckle in — you are about to experience the science of power and energy through several exciting, hands-on experiments that will have the audience laughing, learning and having fun! For children of all ages. Sponsored by the Friends of the Library Montgomery County, Inc, Gaithersburg Chapter. A summertime program for children and families.",,Yes,161
LEGO Playtime,07/22/2016,Jul,FY 17,Twinbrook,Makerspace,ACE - All Children Excel,Science & Math (STEM),Elementary School Age,Preschool and Kindergarten,,"Drop-in for an open session of imaginative construction with LEGO and DUPLO blocks. We supply the blocks so please leave yours at home-- just bring your ideas and start building! Your creations must be left at the library by may be photographed before you leave. All children must be accompanied by an adult at all times. For ages three and up. Sponsored by Friends of the Library, Twinbrook Chapter. No registration required. During the summertime, this event counts as an activity for the Explore Track of the Children's Summer Read & Learn Program. For more information call 240-777-0240.",,Yes,10
LEGO Crew,07/22/2016,Jul,FY 17,Gaithersburg,Science & Math (STEM),ACE - All Children Excel,Makerspace,Elementary School Age,Preschool and Kindergarten,,"Come showcase your creativity at this free drop-in LEGO® program sponsored by The Friends of the Library, Gaithersburg Chapter. Come up with your own amazing creations! We supply the bricks so please leave yours at home. Grades K-5 (with a caregiver.) MakerSpace and STEM.",,Yes,53
Tutoring and Homework Help,07/23/2016,Jul,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the Children's area. Two separate sessions: Session 1: 10:30 - 12:00 PM Session 2: 12:00 - 1:30 PM To register or for more information, please call Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,Yes,
Tutoring and Homework Help,07/23/2016,Jul,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the Children's area. To register or for more information, please call Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,No,
Tutoring and Homework Help,07/25/2016,Jul,FY 17,Long Branch,Homework,ACE - All Children Excel,,Elementary School Age,Teens,,"Tutors from Growing Together are here to assist students in grades 1 - 8 with help in reading, English, or writing, and are able to assist students in grades 1 - 5 who need help in math. Tutors meet in the small conference room on the second floor. There are two sessions: Session 1: 4:30 - 6:00 PM Session 2: 6:00 - 7:30 PM To register or for more information, please call or email Theresa Knudson at 202-374-5152 or e-mail her at theresaknudson@gmail.com.",,No,
